Iteration no,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2,3.546768498,2.950192604,2.775474631,3.577184332,3.912677752,4.725113246,2.621742773,3.577958304,4.250344537,2.871738916,4.208919364,3.561167963,3.293038385,9.907088632,6.47382959,3.601253374,5.570984084,3.953128329,3.575602595,2.437306861,3.568891766,4.212463973,3.460958788,5.044720242,4.384854086,2.992098625,2.730554124,2.789360929,3.805385765,2.792100283,6.764958345,3.415748162,2.907298832,2.406999331,3.474144243,3.398775092,3.053335315,3.097903428,4.224671171,3.382839759,3.147405758,3.330494109,3.18509612,3.000700991,2.800063706,3.391565834,3.535501683,2.395670749,3.658139031,2.575974129,3.955240545,11.0407267,4.101366555,3.149529668,6.793577606,4.333935335,6.234784148,2.939600467,3.310469605,6.492422876,2.910675065,2.850803647,4.980277302,1.809661242,3.127934732,6.262669051,4.04278118,14.11712809,4.802045292,4.221903664,3.109189974,3.367533761,3.588473613,4.231022617,4.293134482,3.671486045,3.224577881,3.684612523,6.550119776,18.17097951,3.325741552,4.64093396,2.846325668,4.712457848,3.272498162,2.75046491,4.575763178,3.325459968,3.15189277,3.562267121,3.901828244,3.268255634,1.586352022,2.566227666,3.234818039,4.616274953,4.158469044,3.730737407,3.006023956,2.958978428,,1,4.088806226
3,3.546768498,2.950192604,2.775474631,3.577184332,3.912677752,4.725113246,2.621742773,3.577958304,4.250344537,2.871738916,4.208919364,3.561167963,3.293038385,9.907088632,6.47382959,3.601253374,5.570984084,3.953128329,3.575602595,2.437306861,3.568891766,4.212463973,3.460958788,5.044720242,4.384854086,2.992098625,2.730554124,2.789360929,3.805385765,2.792100283,6.764958345,3.415748162,2.907298832,2.406999331,3.474144243,3.398775092,3.053335315,3.097903428,4.224671171,3.382839759,3.147405758,3.330494109,3.18509612,3.000700991,2.800063706,3.391565834,3.535501683,2.395670749,3.658139031,2.575974129,3.955240545,11.0407267,4.101366555,3.149529668,6.793577606,4.333935335,6.234784148,2.939600467,3.310469605,6.492422876,2.910675065,2.850803647,4.980277302,1.809661242,3.127934732,6.262669051,4.04278118,14.11712809,4.802045292,4.221903664,3.109189974,3.367533761,3.588473613,4.231022617,4.293134482,3.671486045,3.224577881,3.684612523,6.550119776,18.17097951,3.325741552,4.64093396,2.846325668,4.712457848,3.272498162,2.75046491,4.575763178,3.325459968,3.15189277,3.562267121,3.901828244,3.268255634,1.586352022,2.566227666,3.234818039,4.616274953,4.158469044,3.730737407,3.006023956,2.958978428,,2,4.088806226
4,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,6.717545083,6.717545083,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,6.905751695,3.953128329,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,6.905751695,4.384854086,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,6.905751695,6.905751695,6.717545083,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,4.576175704,6.905751695,12.35059021,6.717545083,6.717545083,12.35059021,6.905751695,6.905751695,6.905751695,2.395670749,6.717545083,6.717545083,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,4.293134482,6.905751695,6.905751695,12.35059021,6.905751695,18.17097951,6.905751695,6.717545083,6.905751695,6.717545083,3.272498162,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.717545083,6.905751695,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.905751695,12.35059021,6.717545083,,3,8.897825659
5,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,6.717545083,6.717545083,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,6.905751695,3.953128329,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,6.905751695,4.384854086,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,6.905751695,6.905751695,6.717545083,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,4.576175704,6.905751695,12.35059021,6.717545083,6.717545083,12.35059021,6.905751695,6.905751695,6.905751695,2.395670749,6.717545083,6.717545083,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,4.293134482,6.905751695,6.905751695,12.35059021,6.905751695,18.17097951,6.905751695,6.717545083,6.905751695,6.717545083,3.272498162,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.717545083,6.905751695,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.905751695,12.35059021,6.717545083,,4,8.897825659
6,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,5,10.05489451
7,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,6,10.05489451
8,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,7,10.05489451
9,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,8,10.05489451
10,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,6.905751695,6.717545083,12.35059021,6.717545083,12.35059021,12.35059021,6.905751695,12.35059021,9.907088632,6.47382959,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,6.905751695,12.35059021,12.35059021,4.384854086,12.35059021,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,12.35059021,12.35059021,6.717545083,6.905751695,12.35059021,6.717545083,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.717545083,6.905751695,6.717545083,6.905751695,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,12.35059021,14.11712809,4.802045292,12.35059021,12.35059021,6.905751695,12.35059021,12.35059021,4.35542962,12.35059021,6.905751695,12.35059021,12.35059021,18.17097951,12.35059021,6.905751695,12.35059021,6.717545083,4.35542962,6.905751695,12.35059021,6.905751695,12.35059021,6.905751695,6.905751695,12.35059021,6.905751695,12.35059021,12.35059021,6.905751695,6.905751695,6.905751695,12.35059021,6.905751695,,9,10.05489451
